title,title_characters,author,journal,number,cites,year,pubid,name,scholar_id
morning floral heat reward pollinators oncocyclus irises,75,"Y Sapir, A Shmida, G Ne’eman",Oecologia,"147, 53-59",90,2006,mVmsd5A6BfQC,Gidi Ne'eman,"""-3hYSFcAAAAJ"""
understanding roles multifunctional mycorrhizal endophytic fungi,75,MC Brundrett,Microbial root endophytes,281-298,251,2006,4TOpqqG69KYC,Mark C. Brundrett,"""F5_dBsgAAAAJ"""
 early flowering myrmecochorous plants adaptation ant dispersal,76,"J Guitian, JL Garrido",Plant species biology,"21 (3), 165-171",32,2006,YOwf2qJgpHMC,Javier Guitian,"""TJtCQoYAAAAJ"""
speciesspecific antennal responses tibial fragrances male orchid bees,76,"T Eltz, M Ayasse, K Lunau",Journal of Chemical Ecology,"32, 71-79",43,2006,_kc_bZDykSQC,Klaus Lunau,"""HuHgwLQAAAAJ"""
petal movement cape wildflowers protects pollen exposure moisture,76,"AV Hase, RM Cowling, AG Ellis",Plant Ecology,"184, 75-87",45,2006,WF5omc3nYNoC,Allan G. Ellis,"""gxJPM4kAAAAJ"""
genetic constraints floral evolution review evaluation patterns,76,"TL Ashman, CJ Majetic",Heredity,"96 (5), 343-352",243,2006,_FxGoFyzp5QC,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
butterfly communities coffeegrowing landscape study western ghats,77,J Dolia,Thesis of The Manipal Academy of Higher Education (Deemed University),,3,2006,HDshCWvjkbEC,Soubadra Devy,"""kT4LQW8AAAAJ"""
effects field margin management bird distributions around cereal fields,77,"IG Henderson, AJ Morris, DB Westbury, BA Woodcock, SG Potts, ...",Aspects of Applied Biology,"81, 53",18,2006,JV2RwH3_ST0C,Simon Potts,"""q_vbRxIAAAAJ"""
phylogenetic fragrance patterns nicotiana sections alatae suaveolentes,77,"RA Raguso, BO Schlumpberger, RL Kaczorowski, TP Holtsford",Phytochemistry,"67 (17), 1931-1942",90,2006,YOwf2qJgpHMC,Robert A. Raguso,"""RmDXdLEAAAAJ"""
synthesis cicerfuran antifungal benzofuran related analogues,77,"SN Aslam, PC Stevenson, SJ Phythian, NC Veitch, DR Hall",Tetrahedron,"62 (17), 4214-4226",239,2006,u5HHmVD_uO8C,Philip C Stevenson,"""LFTAL14AAAAJ"""
new records ripiphoridae coleoptera maritime provinces canada,78,"CG Majka, DS Chandler, CS Sheffield, RP Webster",The Coleopterists Bulletin,"60 (4), 299-303",9,2006,0EnyYjriUFMC,Cory S. Sheffield,"""E9RHuP8AAAAJ"""
migrant forest songbirds undertake breeding dispersal following timber harvest,78,"MG Betts, BP Zitske, AS Hadley, AW Diamond",Northeastern Naturalist,"13 (4), 531-536",16,2006,9yKSN-GCB0IC,Adam Hadley,"""dj81xawAAAAJ"""
drift varroa destructorinfested worker honey bees neighbouring colonies,78,"RM Goodwin, MA Taylor, HM Mcbrydie, HM Cox",Journal of apicultural research,"45 (3), 155-156",52,2006,UebtZRa9Y70C,Mark Goodwin,"""h5ZW3dkAAAAJ"""
proteomic analyses male contributions honey bee sperm storage mating,78,"AM Collins, TJ Caperna, V Williams, WM Garrett, JD Evans",Insect Molecular Biology,"15 (5), 541-549",141,2006,nbnL2fqDbzcC,Jay D. Evans,"""iCJoV-EAAAAJ"""
effectiveness biodiversity indicators varies extent grain region,78,"GR Hess, RA Bartel, AK Leidner, KM Rosenfeld, MJ Rubino, SB Snider, ...",Biological conservation,"132 (4), 448-457",178,2006,ULOm3_A8WrAC,Taylor Ricketts,"""CCnUeN8AAAAJ"""
bumblebees directly perceive variations spectral quality illumination,79,AG Dyer,Journal of Comparative Physiology A,"192, 333-338",22,2006,wbdj-CoPYUoC,Adrian Dyer,"""-XQ4dRsAAAAJ"""
measuring generalization connectance temperate yearlong active systems,79,"D Medan, AM Basilio, M Devoto, NJ Bartoloni, JP Torretta, T Petanidou",Plant–pollinator interactions: from specialization to generalization,245-259,58,2006,9yKSN-GCB0IC,Mariano Devoto,"""LlmdgDAAAAAJ"""
 bumble bees save time choosing novel flowers following conspecifics,79,"LG Kawaguchi, K Ohashi, Y Toquenaga",Functional Ecology,"20 (2), 239-244",67,2006,zYLM7Y9cAGgC,Kazuharu Ohashi,"""Ey0GG4sAAAAJ"""
floral visitors basil ocimum basilicum dera ghazi khan punjab pakistan,80,"A Latif, AM Alvi, Q Saeed, SA Malik, S Saeed, HGA Umar, N Iqbal",Journal of Natural Products,"69 (3), 482-487",1,2006,LjlpjdlvIbIC,Shafqat saeed,"""c9IZPOUAAAAJ"""
using common property resource approaches achieve systematic landscape change,80,"P Ampt, A Baumber, K Norris","Survival of the Commons: Mounting Challenges and New Realities, the Eleventh …",,1,2006,k_7cPK9k7w8C,Simon Potts,"""q_vbRxIAAAAJ"""
reproductive response supplemented heifers humid tropics costa rica,80,"M Maquivar, CS Galina, A Verduzco, J Galindo, R Molina, S Estrada, ...",Animal reproduction science,"93 (1-2), 16-23",23,2006,4fGpz3EwCPoC,Rafael Tormo Molina,"""hcpepjUAAAAJ"""
horizontal vertical transmission viruses honey bee apis mellifera,80,"Y Chen, J Evans, M Feldlaufer",Journal of invertebrate pathology,"92 (3), 152-159",463,2006,Dmoar05iI2YC,Jay D. Evans,"""iCJoV-EAAAAJ"""
pollination diuris maculata orchidaceae male trichocolletes venustus bees,81,"JO Indsto, PH Weston, MA Clements, AG Dyer, M Batley, RJ Whelan",Australian Journal of Botany,"54 (7), 669-679",55,2006,e5wmG9Sq2KIC,Adrian Dyer,"""-XQ4dRsAAAAJ"""
 effect organic farming butterfly diversity depends landscape context,81,"M Rundlöf, HG Smith",Journal of applied ecology,"43 (6), 1121-1127",369,2006,u5HHmVD_uO8C,Maj Rundlöf,"""FkXb8ncAAAAJ"""
 identification ecological questions high policy relevance uk,81,"WJ Sutherland, S ARMSTRONG‐BROWN, PR Armsworth, B Tom, ...",Journal of applied ecology,"43 (4), 617-627",599,2006,9yKSN-GCB0IC,William E. Kunin,"""VTcJiD0AAAAJ"""
pollination biology aristolochia tagala rare species medicinal importance,82,"R Murugan, KR Shivanna, RR Rao",Current Science,795-798,57,2006,RHpTSmoSYBkC,Shivanna K R,"""rdN6MzEAAAAJ"""
manuale per la raccolta studio conservazione e gestione ex situ del germoplasma,82,"G Bacchetta, P Belletti, S Brullo, L Cagelli, V Carasso, JL Casas, ...",APAT,"37, 1-244",69,2006,BjLbhSWBl98C,Massimo Nepi,"""laRtIhIAAAAJ"""
dynamic traditional greenhouse climate regimes influx thrips thysanoptera,83,"L Jakobsen, M Brogaard, A Enkegaard, HF Brødsgaard, JM Aaslyng",HortScience,"41 (2), 389-393",9,2006,4DMP91E08xMC,Henrik F. Brodsgaard,"""MHJvdGsAAAAJ"""
demography invasive geophyte oxalis pescaprae across mediterranean island,83,"M Vilà, I Bartomeus, I Gimeno, A Traveset, EVA Moragues",Annals of Botany,"97 (6), 1055-1062",69,2006,d1gkVwhDpl0C,Ignasi Bartomeus,"""EXdyoWAAAAAJ"""
capture efficiency preservation attributes different fluids pitfall traps,83,"MH Schmidt, Y Clough, W Schulz, A Westphalen, T Tscharntke",The Journal of Arachnology,"34 (1), 159-162",175,2006,u_35RYKgDlwC,Teja Tscharntke,"""X36HAGcAAAAJ"""
sugar resources vital diadegma semiclausum fecundity field conditions,83,"K Winkler, F Wäckers, G Bukovinszkine-Kiss, J Van Lenteren",Basic and applied ecology,"7 (2), 133-140",283,2006,W7OEmFMy1HYC,Felix Wackers,"""3pVhk_wAAAAJ"""
pollination ecology final report biennium clark county nevada ,84,"T Griswold, S Higbee, O Messinger","USDA-ARS Bee Biology and Systematics Laboratory, Utah State University …",,7,2006,2KloaMYe4IUC,Olivia Messinger Carril,"""9uVS_6UAAAAJ"""
resource allocation simultaneously hermaphroditic slug phally polymorphism,84,"K Jordaens, S Van Dongen, K Temmerman, T Backeljau",Evolutionary Ecology,"20 (6), 535-548",10,2006,j8SEvjWlNXcC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
 biology european orchard bee osmia cornuta latrhymenoptera megachilidae,84,"MD Krunić, L Stanisavljević","University of Belgrade, Faculty of Biology",,21,2006,W7OEmFMy1HYC,"Dr. Ljubiša Stanisavljević, Professor","""9XvqgHsAAAAJ"""
effects copper enchytraeids field differing soil moisture regimes,84,"K Maraldo, B Christensen, B Strandberg, M Holmstrup",Environmental Toxicology and Chemistry: An International Journal,"25 (2), 604-612",30,2006,W7OEmFMy1HYC,Beate Strandberg,"""HayUP6sAAAAJ"""
foraging fearful frugivores combined effect fruit ripening predation risk,84,"JM Fedriani, R Boulay",Functional Ecology,"20 (6), 1070-1079",42,2006,lLPirIASiZEC,Jose M. Fedriani,"""55_l9y8AAAAJ"""
 angiosperm flora archipelago juan fernandez chile origin dispersal,84,"G Bernardello, GJ Anderson, TF Stuessy, DJ Crawford",Botany,"84 (8), 1266-1281",62,2006,5Ul4iDaHHb8C,gregory Anderson,"""pH6mu0sAAAAJ"""
 flowertripping bees enhance yields peanut varieties grown north queensland,85,"KR Blanche, M Hughes, JA Ludwig, SA Cunningham",Australian Journal of Experimental Agriculture,"46 (11), 1529-1534",8,2006,hFOr9nPyWt4C,Saul Cunningham,"""NKu8RY4AAAAJ"""
experimental verification ecological niche modeling heterogeneous environment,85,"JW Wright, KF Davies, JA Lau, AC McCall, JK McKay",Ecology,"87 (10), 2433-2439",87,2006,2osOgNQ5qMEC,Andrew C. McCall,"""aIIt4dcAAAAJ"""
beyond oda sex pheromone communication european honey bee apis mellifera l,85,"A Brockmann, D Dietz, J Spaethe, J Tautz",Journal of chemical ecology,"32, 657-667",105,2006,Y0pCki6q_DkC,Johannes Spaethe,"""w1qwkAoAAAAJ"""
genome sequences honey bee pathogens paenibacillus larvae ascosphaera apis,85,"X Qin, JD Evans, KA Aronstein, KD Murray, GM Weinstock",Insect molecular biology,"15 (5), 715-718",140,2006,CLhUwle04lcC,Jay D. Evans,"""iCJoV-EAAAAJ"""
surveying monitoring pollinators natural landscapes cultivated fields,86,"C Pinheiro-Machado, FA Silveira, PMC Albuquerque, J Biesmeijer, ...",Bees as pollinators in Brazil: Assessing the status and suggesting best …,,25,2006,8Fucociq1QoC,Connal Eardley,"""DPI_6bYAAAAJ"""
floral specialization bees analytical methods revised lexicon oligolecty,86,"JH Cane, S Sipes",Plant-pollinator interactions: from specialization to generalization,99-122,397,2006,RYcK_YlVTxYC,Jim Cane,"""5WagfLMAAAAJ"""
pszczola porobnica murarka anthophora plagiata illiger ginacy gatunek w polsce,87,"W Banaszak-Cibicka, Z Wilkaniec",Chrońmy Przyrodę Ojczystą,"4 (62), 3-10",1,2006,IjCSPb-OGe4C,Weronika Banaszak-Cibicka,"""XdmXsG4AAAAJ"""
proline accumulating plant nectars determinant preferential honeybee feeding,87,"C Carter, S Shafir, L Vaknin, RG Palmer, RW Thornburg",Naturwissenschaften,"93, 72-79",2,2006,RGFaLdJalmkC,Sharoni Shafir,"""Wyr_jtwAAAAJ"""
field trials microbial control varroa fungus metarhizium anisopliae,87,"RR James, G Hayes, JE Leland",,,29,2006,5nxA0vEk-isC,Rosalind James,"""LJ8EHsMAAAAJ"""
thermal history influences diapause development solitary bee megachile rotundata,87,"GD Yocum, WP Kemp, J Bosch, JN Knoblett",Journal of Insect Physiology,"52 (11-12), 1113-1120",43,2006,ZHo1McVdvXMC,Jordi Bosch,"""5jPITlMAAAAJ"""
diversification gut morphology caterpillars associated defensive behavior,87,JB Grant,Journal of Experimental Biology,"209 (15), 3018-3024",60,2006,9yKSN-GCB0IC,Jacqualine Grant,"""N5S7rbgAAAAJ"""
beepath ordered quantitativepcr array exploring honey bee immunity disease,87,JD Evans,Journal of invertebrate pathology,"93 (2), 135-139",319,2006,PZE8UkGerEcC,Jay D. Evans,"""iCJoV-EAAAAJ"""
insect overwintering upregulation heat shock proteins essential cold survival,88,"JP Rinehart, A Li, GD Yocum, RM Robich, SAL Hayward, DL Denlinger",Proceedings of the National Academy of Sciences of the United States of …,,2,2006,hqOjcs7Dif8C,Scott Hayward,"""tJTy2YcAAAAJ"""
genetic localisation new major minor pest disease factors apple genome,88,"CE Durel, V Freslon, C Denancé, F Laurens, Y Lespinasse, E Rat, L Parisi, ...",Proceedings of the,3rd Rosaceae Genomics Conference,10,2006,yTLRzDEmwhEC,Marcos Miñarro,"""RCuk2cMAAAAJ"""
phylogeny biogeography canarian solanum vespertilio s lidii solanaceae,88,"G Anderson, GLM Bernardello, L Bohs, T Weese, A Santos Guerra",Consejo Superior de Investigaciones Científicas,,25,2006,Mojj43d5GZwC,gregory Anderson,"""pH6mu0sAAAAJ"""
contrasting responses bee communities coffee flowering different spatial scales,88,"D Veddeler, AM Klein, T Tscharntke",Oikos,"112 (3), 594-601",143,2006,dshw04ExmUIC,Teja Tscharntke,"""X36HAGcAAAAJ"""
importation nonnative bumble bees north america potential consequences using,89,"K Winter, L Adams, RW Thorp, DW Inouye, L Day, J Ascher, S Buchmann",Bombus terrestris,33,15,2006,Ri6SYOTghG4C,Stephen Buchmann,"""tqms8REAAAAJ"""
ripe pollen carbohydrate changes trachycarpus fortunei effect relative humidity,90,"M Guarnieri, A Speranza, M Nepi, D Artese, E Pacini",Sexual Plant Reproduction,"19, 117-124",30,2006,YOwf2qJgpHMC,Massimo Nepi,"""laRtIhIAAAAJ"""
population structure effect reproduction rare plant beyond population size effect,90,"AL Luzuriaga, A Escudero, MJ Albert, L Gimenez-Benavides",Botany,"84 (9), 1371-1379",31,2006,zYLM7Y9cAGgC,Luis Giménez-Benavides,"""RjrCMfYAAAAJ"""
 impact floral resources syrphid performance cabbage aphid biological control,90,"PCJ van Rijn, J Kooijman, FL Wackers",IOBC wprs Bulletin,"29 (6), 149",63,2006,XiVPGOgt02cC,Felix Wackers,"""3pVhk_wAAAAJ"""
feedbee balances growth feeding colonies nutritious pollen suppliment beneficial,91,"AM Saffari, PG Kevan, JK Atkinson",The AI Root Company,,3,2006,hFOr9nPyWt4C,Peter Kevan,"""mbOeZkcAAAAJ"""
odourmediated responses predatory mirid bug prey twospotted spider mite,91,"HRS Moayeri, A Ashouri, HF Brødsgaard, A Enkegaard",Experimental & applied acarology,"40, 27-36",27,2006,UebtZRa9Y70C,Henrik F. Brodsgaard,"""MHJvdGsAAAAJ"""
reproductive biology dioecious canary islands endemic withania aristata solanaceae,91,"GJ Anderson, G Bernardello, MR Opel, A Santos‐Guerra, M Anderson",American Journal of Botany,"93 (9), 1295-1305",47,2006,_xSYboBqXhAC,gregory Anderson,"""pH6mu0sAAAAJ"""
 size individual delphinium flowers opportunity geitonogamous pollination,91,"HS Ishii, LD Harder",Functional Ecology,"20 (6), 1115-1123",67,2006,IjCSPb-OGe4C,Hiroshi S Ishii,"""xJAZ3pwAAAAJ"""
plantpollinator biodiversity pollination services complex mediterranean landscape,91,"SG Potts, T Petanidou, S Roberts, C O’Toole, A Hulbert, P Willmer",Biological conservation,"129 (4), 519-529",271,2006,Se3iqnhoufwC,Simon Potts,"""q_vbRxIAAAAJ"""
 tropical garden flora plants cultivated hawaiian islands tropical places,92,RW Pemberton,Economic Botany,"60 (2), 193-194",4,2006,WqliGbK-hY8C,robert pemberton,"""EJcxNNcAAAAJ"""
ribosomal dna evidence diversification tropaeolum sect chilensia tropaeolaceae,92,"MA Hershkovitz, CC Hernández-Pellicer, MTK Arroyo",Plant Systematics and Evolution,"260 (1), 1-24",37,2006,4MWp96NkSFoC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
 role mechanosensory input flower handling efficiency learning manduca sexta,92,"J Goyret, RA Raguso",Journal of Experimental Biology,"209 (9), 1585-1593",96,2006,KlAtU1dfN6UC,Robert A. Raguso,"""RmDXdLEAAAAJ"""
orchid bees dont need orchids evidence naturalization orchid bee florida,92,"RW Pemberton, GS Wheeler",Ecology,"87 (8), 1995-2001",103,2006,0EnyYjriUFMC,robert pemberton,"""EJcxNNcAAAAJ"""
diagnosis american foulbrood honey bees synthesis proposed analytical protocols,92,"DC De Graaf, AM Alippi, M Brown, JD Evans, M Feldlaufer, A Gregorc, ...",Letters in applied microbiology,"43 (6), 583-590",130,2006,n1qY4L4uFdgC,Jay D. Evans,"""iCJoV-EAAAAJ"""
antagonistic interactions honey bee bacterial symbionts implications disease,92,"JD Evans, TN Armstrong",BMC ecology,"6, 1-9",201,2006,pYRxIbzCxX0C,Jay D. Evans,"""iCJoV-EAAAAJ"""
continuous upregulation heat shock proteins larvae adults polar insect,92,"JP Rinehart, SAL Hayward, MA Elnitsky, LH Sandro, RE Lee Jr, ...",Proceedings of the National Academy of Sciences,"103 (38), 14223-14227",218,2006,ZeXyd9-uunAC,Scott Hayward,"""tJTy2YcAAAAJ"""
parallel declines pollinators insectpollinated plants britain netherlands,92,"JC Biesmeijer, SPM Roberts, M Reemer, R Ohlemuller, M Edwards, ...",Science,"313 (5785), 351-354",3988,2006,u5HHmVD_uO8C,Simon Potts,"""q_vbRxIAAAAJ"""
virtual observatory plate content digitization archive mining image sequence processing,93,"M Tsvetkov, V Golev, F Murtagh, R Molina","Virtual Observatory: Plate Content Digitization, Archive Mining and Image …",,7,2006,AXkvAH5U_nMC,Rafael Tormo Molina,"""hcpepjUAAAAJ"""
measuring brood digitally easy way measure record brood production colony,93,"JA Knoop, AM Saffari, PG Kevan, J Boone",The AI Root Company,,8,2006,q3oQSFYPqjQC,Peter Kevan,"""mbOeZkcAAAAJ"""
 monitor rare elusive mammals counting duikers kenya tanzania zimbabwe,93,AE Bowkett,"Animals, zoos and conservation",21-28,15,2006,KlAtU1dfN6UC,Amy Plowman,"""i-7KumsAAAAJ"""
immigration zooplankton community responses nutrient enrichment mesocosm experiment,93,"J Forrest, SE Arnott",Oecologia,"150, 119-131",33,2006,qjMakFHDy7sC,Jessica Forrest,"""O_sMQIYAAAAJ"""
population size female fecundity sex ratio variation gynodioecious plantago maritima,93,"E Nilsson, J Ågren",Journal of evolutionary biology,"19 (3), 825-833",54,2006,Zph67rFs4hoC,Jon Ågren,"""yxf8wX8AAAAJ"""
david g lloyd evolution floral biology natural history strategic analysis,94,"SCH Barrett, LD Harder",Ecology and evolution of flowers,21-Jan,24,2006,HE397vMXCloC,Lawrence D. Harder,"""8PWpj6cAAAAJ"""
effects eutrophication snails eurasian watermilfoil myriophyllum spicatum invasion,94,"JM Chase, TM Knight",Biological Invasions,"8, 1643-1649",63,2006,KlAtU1dfN6UC,Tiffany Knight,"""QMqWqrkAAAAJ"""
pollination ecology seed production rhododendron ponticum native exotic habitats,94,"JC Stout, JAN Parnell, J Arroyo, TP Crowe",Biodiversity & Conservation,"15, 755-777",95,2006,5nxA0vEk-isC,Jane Stout,"""OkdqijcAAAAJ"""
first record invasive bumblebee bombus terrestris lhymenoptera apidae argentina,95,"JP Torretta, D Medan, AH Abrahamovich",Transactions of the American Entomological Society,"132 (3), 285-289",107,2006,_axFR9aDTf0C,Medan Diego,"""GfiU00IAAAAJ"""
rapid coldhardening increases freezing tolerance antarctic midge belgica antarctica,95,"RE Lee Jr, MA Elnitsky, JP Rinehart, SAL Hayward, LH Sandro, ...",Journal of Experimental Biology,"209 (3), 399-406",134,2006,_Qo2XoVZTnwC,Scott Hayward,"""tJTy2YcAAAAJ"""
mealybug phenacoccus solenopsis homoptera pseudococcidae novel pest cotton pakistan,96,"SM Zaka, S Saeed, SA Bukhari, E Baksh",Proceedings of,"34 Pakistan (SAARC) Countries Science Conference, 32",22,2006,YOwf2qJgpHMC,Shafqat saeed,"""c9IZPOUAAAAJ"""
multiple plant exploiters shared host testing nonadditive effects plant performance,96,"V Fournier, JA Rosenheim, J Brodeur, JM Diez, MW Johnson",Ecological Applications,"16 (6), 2382-2398",45,2006,hC7cP41nSMkC,Valérie Fournier,"""EzwwLy4AAAAJ"""
 twist test darwins crosspollination hypothesis pollinarium reconfiguration,96,"CI Peter, SD Johnson",Biology Letters,"2 (1), 65-68",69,2006,UeHWp8X0CEIC,Craig I. Peter,"""nph0-eMAAAAJ"""
manipulation bee behavior inflorescence architecture consequences plant mating,96,"CY Jordan, LD Harder",The American Naturalist,"167 (4), 496-509",72,2006,M3NEmzRMIkIC,Lawrence D. Harder,"""8PWpj6cAAAAJ"""
 practical guide development wetland assessment method california experience,96,"MA Sutula, ED Stein, JN Collins, AE Fetscher, R Clark",JAWRA Journal of the American Water Resources Association,"42 (1), 157-175",126,2006,u5HHmVD_uO8C,Anne Elizabeth Fetscher (Betty),"""EEpWThIAAAAJ"""
economic evaluation pollination services comparing coffee landscapes ecuador indonesia,96,"R Olschewski, T Tscharntke, PC Benítez, S Schwarze, AM Klein",Ecology and Society,11 (1),168,2006,ZHo1McVdvXMC,Teja Tscharntke,"""X36HAGcAAAAJ"""
 checklist transhimalayan dicot flora dolpo surrounding region northwest nepal,97,"MR Shrestha, MB Rokaya, SK Ghimire",Scientific World,"4 (4), 84",4,2006,4TOpqqG69KYC,"Mani Shrestha, PhD","""_h3O20UAAAAJ"""
arabidopsis pasticcino antiphosphatase involved regulation cyclindependent kinase ,97,"M Da Costa, L Bach, I Landrieu, Y Bellec, O Catrice, S Brown, ...",The Plant Cell,"18 (6), 1426-1437",59,2006,_FxGoFyzp5QC,Olivier Catrice,"""C_4jIVkAAAAJ"""
facultative use repellent scent mark foraging bumblebees complex versus simple flowers,97,"N Saleh, K Ohashi, JD Thomson, L Chittka",Animal Behaviour,"71 (4), 847-854",81,2006,2osOgNQ5qMEC,Kazuharu Ohashi,"""Ey0GG4sAAAAJ"""
 role local species abundance evolution pollinator attraction flowering plants,97,"RD Sargent, SP Otto",The American Naturalist,"167 (1), 67-80",107,2006,4DMP91E08xMC,Risa D Sargent,"""AP5-B1QAAAAJ"""
ancestral reconstruction flower morphology pollination systems schizanthus solanaceae,97,"F Pérez, MTK Arroyo, R Medel, MA Hershkovitz",American Journal of Botany,"93 (7), 1029-1038",139,2006,roLk4NBRz8UC,Mary T. K. Arroyo,"""tFVzdokAAAAJ"""
slug speciesand populationspecific effects end points slug mucosal irritation test,98,"MMM Dhondt, E Adriaens, J Pinceel, K Jordaens, T Backeljau, JP Remon",Toxicology in vitro,"20 (4), 448-457",13,2006,NMxIlDl6LWMC,Kurt Jordaens,"""mbg0t7QAAAAJ"""
inferring evolutionary patterns biogeographical distributions mutualists exploiters,99,B Anderson,Biological Journal of the Linnean Society,"89, 541-549",11,2006,artPoR2Yc-kC,Bruce Anderson,"""TQUTOpcAAAAJ"""
 new finding predatory mite amblyseius californicus acari phytoseiidae jeju korea,99,"C Jung, DH Kim, MO Ryu",Journal of Asia-Pacific Entomology,"9 (4), 321-325",23,2006,zYLM7Y9cAGgC,Chuleui Jung,"""BtnbXbcAAAAJ"""
 implications aflp data systematics wild species solanum section basarthrum,99,"J Prohens, GJ Anderson, JM Blanca, J Cañizares, E Zuriaga, F Nuez",Systematic Botany,"31 (1), 208-216",23,2006,vRqMK49ujn8C,gregory Anderson,"""pH6mu0sAAAAJ"""
floral scent emission pollination syndromes evolutionary changes food sexual deception,99,"CC Salzmann, A Brown, FP Schiestl",International Journal of Plant Sciences,"167 (6), 1197-1204",31,2006,QIV2ME_5wuYC,Florian P Schiestl,"""J22mbxgAAAAJ"""
consequences vegetative herbivory maintenance intermediate outcrossing annual plant,99,"JA Steets, JL Hamrick, TL Ashman",Ecology,"87 (11), 2717-2727",39,2006,7PzlFSSx8tAC,Tia-Lynn Ashman,"""lLk9M0cAAAAJ"""
bumblebees experience landscapes different spatial scales possible implications coexistence,99,"C Westphal, I Steffan-Dewenter, T Tscharntke",Oecologia,"149, 289-300",335,2006,RHpTSmoSYBkC,Teja Tscharntke,"""X36HAGcAAAAJ"""
complex responses within desert bee guild hymenoptera apiformes urban habitat fragmentation,99,"JH Cane, RL Minckley, LJ Kervin, TH Roulston, NM Williams",Ecological applications,"16 (2), 632-644",486,2006,ZHo1McVdvXMC,Jim Cane,"""5WagfLMAAAAJ"""
diversity management bees pollination apple annapolis valley nova scotia,100,CS Sheffield,University of Guelph,,9,2006,Tyk-4Ss8FVUC,Cory S. Sheffield,"""E9RHuP8AAAAJ"""
foraging activity solitary andean bee anthophora walteri hymenoptera apidae anthophorini,100,"VH Gonzalez, B Mantilla, E Palacios",Revista Colombiana de Entomología,"32 (1), 73-76",14,2006,L8Ckcad2t8MC,Victor Hugo Gonzalez Betancourt,"""NPLom4YAAAAJ"""
genomic transcriptional analysis protein heterogeneity honeybee venom allergen api m ,100,"N Peiren, DC De Graaf, JD Evans, FJ Jacobs",Insect molecular biology,"15 (5), 577-581",19,2006,rUnQDpM0TEQC,Jay D. Evans,"""iCJoV-EAAAAJ"""
conservation taxonomically difficult species case australian orchid microtis angusii,100,"NS Flanagan, R Peakall, MA Clements, JT Otero",Conservation Genetics,"7, 847-859",29,2006,eQOLeE2rZwMC,Joel Tupac Otero ,"""1rfwt4sAAAAJ"""
specialized use pollen vectors caesalpinia gilliesii legume species brushtype flowers,100,"M More, AN Sersic, AA Cocucci",Biological Journal of the Linnean Society,"88 (4), 579-592",38,2006,UeHWp8X0CEIC,Marcela Moré,"""cW3AwRAAAAAJ"""
evolutionary ecological aspects specialized pollination views arctic tropics,100,S Armbruster,Plant-pollinator interactions: From specialization to generalization,260-282,79,2006,XiSMed-E-HIC,W Scott Armbruster,"""SjIc1aYAAAAJ"""
 regionwide experiment functional agrobiodiversity fab arable farming netherlands,101,"F Alebeek, M Wiersema, P Rijn, F Wäckers, E Belder, J Willemse, H Gurp",,,7,2006,eMMeJKvmdy0C,Felix Wackers,"""3pVhk_wAAAAJ"""
beta diversity different spatial scales plant communities organic conventional agriculture,101,"D Gabriel, I Roschewitz, T Tscharntke, C Thies",Ecological applications,"16 (5), 2011-2021",439,2006,9ZlFYXVOiuMC,Teja Tscharntke,"""X36HAGcAAAAJ"""
family visitors weather patterns flowering tropical rain forests northern australia,102,"SL Boulter, RL Kitching, BG Howlett",Journal of Ecology,369-382,121,2006,MXK_kJrjxJIC,Brad Howlett,"""DYhlzEoAAAAJ"""
worker honey bee ovary development seasonal variation influence larval adult nutrition,102,"SER Hoover, HA Higo, ML Winston",Journal of Comparative Physiology B,"176, 55-63",170,2006,d1gkVwhDpl0C,Shelley Hoover,"""lz2Up-IAAAAJ"""
pollen carbohydrates water content development presentation dispersal short review,102,"E Pacini, M Guarnieri, M Nepi",Protoplasma,"228, 73-77",261,2006,YsMSGLbcyi4C,Massimo Nepi,"""laRtIhIAAAAJ"""
effect gamma irradiation fumigation biological qualities green black oolong teas,103,"JH Kwon, T Kausar, YJ Kwon, J Kim, EY Huh, KY Lee, S Saeed",Food science and biotechnology,"15 (1), 1-4",1,2006,XiVPGOgt02cC,Shafqat saeed,"""c9IZPOUAAAAJ"""
utilization sewage thermal power plant discharged wastewater cultivation pulse crop,103,"S Javid, S Singh, I Ahmad, S Saeed, A Akhter, NA Khan, A Inam",ASIAN JOURNAL OF MICROBIOLOGY BIOTECHNOLOGY AND ENVIRONMENTAL SCIENCES,8 (2 …,5,2006,M7yex6snE4oC,Shafqat saeed,"""c9IZPOUAAAAJ"""
nutrient stress performance invasive hieracium lepidulum cooccurring species new zealand,103,"IJ Radford, KJM Dickinson, JM Lord",Basic and Applied Ecology,"7 (4), 320-333",19,2006,kNdYIx-mwKoC,Janice Lord,"""OhVRkgcAAAAJ"""
nectar dynamics reproductive success saponaria officinalis caryophyllaceae southern germany,103,"D Wolff, T Witt, A Jürgens, G Gottsberger","Flora-Morphology, Distribution, Functional Ecology of Plants","201 (5), 353-364",21,2006,NMxIlDl6LWMC,Andreas Jürgens,"""mXZQj-IAAAAJ"""
 establishment rate sheep nematode revisiting classics using metaanalysis experiments,103,"S Gaba, L Gruner, J Cabaret",Veterinary Parasitology,"140 (3-4), 302-311",23,2006,zYLM7Y9cAGgC,Sabrina Gaba,"""3vFKj0UAAAAJ"""
